id,first_name,second_name,cost,ict_index,total_points,points_per_game,form,position,team
0,Fábio,Ferreira Vieira,54,0.0,0,0.0,0.0,MID,ARS
2,Gabriel,dos Santos Magalhães,60,4.6,12,6.0,6.0,DEF,ARS
3,Kai,Havertz,81,14.5,14,7.0,7.0,FWD,ARS
5,Jurriën,Timber,55,1.8,7,3.5,3.5,DEF,ARS
6,Jorge Luiz,Frello Filho,49,0.0,0,0.0,0.0,MID,ARS
7,Jakub,Kiwior,49,0.0,0,0.0,0.0,DEF,ARS
8,Gabriel,Martinelli Silva,70,11.8,6,3.0,3.0,MID,ARS
9,Reiss,Nelson,50,0.2,1,1.0,0.5,MID,ARS
10,Eddie,Nketiah,59,0.0,0,0.0,0.0,FWD,ARS
11,Ethan,Nwaneri,45,0.0,0,0.0,0.0,MID,ARS
12,Martin,Ødegaard,85,11.8,5,2.5,2.5,MID,ARS
13,Aaron,Ramsdale,45,0.0,0,0.0,0.0,GKP,ARS
14,David,Raya Martin,55,5.6,18,9.0,9.0,GKP,ARS
15,Declan,Rice,65,8.0,5,2.5,2.5,MID,ARS
16,Bukayo,Saka,100,28.6,18,9.0,9.0,MID,ARS
17,William,Saliba,60,4.1,12,6.0,6.0,DEF,ARS
18,Thomas,Partey,50,11.4,14,7.0,7.0,MID,ARS
21,Leandro,Trossard,69,6.5,8,4.0,4.0,MID,ARS
22,Benjamin,White,65,3.5,12,6.0,6.0,DEF,ARS
23,Oleksandr,Zinchenko,50,1.8,6,6.0,3.0,DEF,ARS
24,Riccardo,Calafiori,59,0.0,1,1.0,0.5,DEF,ARS
25,Myles,Lewis-Skelly,45,0.0,0,0.0,0.0,MID,ARS
26,Leon,Bailey,65,8.8,3,1.5,1.5,MID,AVL
27,Ross,Barkley,54,0.2,1,1.0,0.5,MID,AVL
28,Enzo,Barrenechea,50,0.0,0,0.0,0.0,MID,AVL
29,Emiliano,Buendía Stati,54,0.0,0,0.0,0.0,MID,AVL
31,Leander,Dendoncker,45,0.0,0,0.0,0.0,MID,AVL
33,Diego Carlos,Santos Silva,45,0.0,0,0.0,0.0,DEF,AVL
34,Lucas,Digne,45,5.4,4,2.0,2.0,DEF,AVL
36,Jhon,Durán,60,7.3,7,3.5,3.5,FWD,AVL
37,Joe,Gauci,40,0.0,0,0.0,0.0,GKP,AVL
38,Kortney,Hause,40,0.0,0,0.0,0.0,DEF,AVL
39,Samuel,Iling-Junior,54,0.0,0,0.0,0.0,MID,AVL
42,Ezri,Konsa Ngoyo,45,4.9,3,1.5,1.5,DEF,AVL
43,Ian,Maatsen,50,3.9,2,1.0,1.0,DEF,AVL
45,Emiliano,Martínez Romero,50,4.4,4,2.0,2.0,GKP,AVL
46,John,McGinn,55,2.2,5,2.5,2.5,MID,AVL
48,Kosta,Nedeljković,40,2.6,2,1.0,1.0,DEF,AVL
50,Pau,Torres,45,4.0,3,1.5,1.5,DEF,AVL
51,Jacob,Ramsey,55,8.0,5,2.5,2.5,MID,AVL
52,Morgan,Rogers,50,11.0,4,2.0,2.0,MID,AVL
55,Youri,Tielemans,55,12.5,9,4.5,4.5,MID,AVL
56,Ollie,Watkins,90,5.1,4,2.0,2.0,FWD,AVL
57,Amadou,Onana,50,9.5,11,5.5,5.5,MID,AVL
58,Jaden,Philogene,54,0.5,0,0.0,0.0,MID,AVL
59,Lamare,Bogarde,40,0.0,0,0.0,0.0,DEF,AVL
60,Max,Aarons,45,0.0,0,0.0,0.0,DEF,BOU
62,Jaidon,Anthony,45,0.0,0,0.0,0.0,MID,BOU
64,Ryan,Christie,50,5.0,3,1.5,1.5,MID,BOU
65,Lewis,Cook,50,6.6,3,1.5,1.5,MID,BOU
68,Hamed,Traorè,45,0.0,0,0.0,0.0,MID,BOU
69,James,Hill,40,0.0,0,0.0,0.0,DEF,BOU
70,Daniel,Jebbison,45,1.6,2,1.0,1.0,FWD,BOU
71,Milos,Kerkez,45,4.7,3,1.5,1.5,DEF,BOU
72,Justin,Kluivert,54,5.4,3,1.5,1.5,MID,BOU
73,Chris,Mepham,45,0.0,0,0.0,0.0,DEF,BOU
74,Norberto,Murara Neto,45,7.8,7,3.5,3.5,GKP,BOU
75,Dango,Ouattara,50,3.5,3,1.5,1.5,MID,BOU
77,Philip,Billing,50,0.4,1,1.0,0.5,MID,BOU
78,Alex,Scott,50,4.1,3,1.5,1.5,MID,BOU
79,Antoine,Semenyo,55,19.7,13,6.5,6.5,MID,BOU
80,Marcos,Senesi,49,3.7,1,1.0,0.5,DEF,BOU
81,Luis,Sinisterra,50,7.2,3,1.5,1.5,MID,BOU
82,Adam,Smith,45,1.4,3,1.5,1.5,DEF,BOU
83,Marcus,Tavernier,55,20.9,11,5.5,5.5,MID,BOU
84,Mark,Travers,45,0.0,0,0.0,0.0,GKP,BOU
85,Illia,Zabarnyi,45,3.4,4,2.0,2.0,DEF,BOU
86,Dean,Huijsen,45,2.5,2,2.0,1.0,DEF,BOU
