id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,3.0,2,0.5,0.7,a,0.0,FWD,ARS,25
2,Gabriel dos Santos Magalhães,62,37.2,37,6.2,7.7,a,1.0,DEF,ARS,25
3,Kai Havertz,82,48.4,32,5.3,3.3,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,21.8,19,3.2,3.7,d,1.0,DEF,ARS,25
6,Jorge Luiz Frello Filho,49,0.2,2,2.0,0.7,a,1.0,MID,ARS,25
7,Jakub Kiwior,48,0.5,1,1.0,0.3,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,70,39.1,28,4.7,7.0,a,1.1,MID,ARS,25
9,Ethan Nwaneri,45,4.1,2,1.0,0.7,a,0.0,MID,ARS,25
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS,25
11,David Raya Martin,56,20.5,34,5.7,4.7,a,1.0,GKP,ARS,25
12,Declan Rice,63,16.7,6,1.2,1.0,a,1.12,MID,ARS,25
13,Bukayo Saka,101,76.7,38,6.3,4.7,a,1.13,MID,ARS,25
14,William Saliba,60,11.5,20,3.3,2.0,a,1.0,DEF,ARS,25
15,Thomas Partey,50,21.5,21,3.5,2.0,a,1.01,MID,ARS,25
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,0.0,0,0.0,0.0,d,0.0,DEF,ARS,25
18,Leandro Trossard,69,28.5,22,3.7,4.3,a,1.15,MID,ARS,25
19,Benjamin White,64,9.1,21,4.2,2.3,d,0.89,DEF,ARS,25
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,i,1.15,DEF,ARS,25
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,1.0,2,1.0,0.7,a,0.0,MID,ARS,25
23,Riccardo Calafiori,58,19.5,11,2.8,3.0,a,0.88,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
25,Mikel Merino,60,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
32,Leon Bailey,64,16.8,10,2.0,2.0,d,1.26,MID,AVL,25
33,Ross Barkley,52,8.2,7,1.4,1.7,a,0.0,MID,AVL,25
34,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
35,Emiliano Buendía Stati,53,1.0,3,1.0,1.0,a,0.0,MID,AVL,25
36,Matty Cash,44,2.6,3,1.5,0.0,a,1.88,DEF,AVL,25
37,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
38,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
39,Diego Carlos Santos Silva,45,3.3,3,1.5,1.0,a,1.0,DEF,AVL,25
40,Lucas Digne,46,22.5,16,2.7,1.7,a,1.24,DEF,AVL,25
41,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
42,Jhon Durán,62,26.7,26,4.3,4.0,a,0.0,FWD,AVL,25
43,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
44,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
45,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
46,Boubacar Kamara,50,0.0,0,0.0,0.0,i,0.0,MID,AVL,25
47,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
48,Ezri Konsa Ngoyo,45,20.1,16,2.7,3.7,a,1.0,DEF,AVL,25
