id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,16.9,8,0.7,0.8,a,0.79,FWD,ARS
2,Gabriel dos Santos Magalhães,62,59.7,60,4.6,4.2,d,1.08,DEF,ARS
3,Kai Havertz,79,83.4,54,4.2,2.2,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,56,45.6,45,3.8,5.8,a,1.04,DEF,ARS
6,Jorge Luiz Frello Filho,47,5.9,7,1.2,0.8,a,1.24,MID,ARS
7,Jakub Kiwior,48,4.9,11,1.6,2.0,a,0.39,DEF,ARS
8,Gabriel Martinelli Silva,68,67.0,50,4.2,2.8,a,1.08,MID,ARS
9,Ethan Nwaneri,45,12.1,12,1.7,1.8,a,0.0,MID,ARS
10,Martin Ødegaard,83,54.0,31,4.4,6.0,a,1.08,MID,ARS
11,David Raya Martin,55,33.7,56,4.0,4.0,a,1.0,GKP,ARS
12,Declan Rice,62,61.4,28,2.3,2.8,a,1.07,MID,ARS
13,Bukayo Saka,105,156.9,101,7.8,9.0,a,1.1,MID,ARS
14,William Saliba,60,33.0,46,3.5,6.2,a,1.06,DEF,ARS
15,Thomas Partey,50,50.8,45,3.5,4.0,a,0.98,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,68,63.7,47,3.4,4.2,a,1.04,MID,ARS
19,Benjamin White,61,21.3,27,3.0,0.2,i,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,6.7,15,2.5,1.8,a,0.77,DEF,ARS
21,Norberto Murara Neto,42,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,11.3,9,1.5,1.2,a,1.25,MID,ARS
23,Riccardo Calafiori,58,29.4,20,2.5,1.5,d,1.07,DEF,ARS
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.0,d,0.0,MID,ARS
25,Mikel Merino,60,22.4,17,2.4,1.2,a,0.93,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,62,34.8,26,2.0,1.8,a,1.21,MID,AVL
34,Ross Barkley,52,36.8,26,2.4,2.8,a,0.44,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,52,2.9,6,0.9,0.5,a,0.0,MID,AVL
37,Matty Cash,44,20.6,21,2.3,2.0,a,1.11,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,13.6,12,1.7,0.2,a,0.81,DEF,AVL
41,Lucas Digne,47,63.0,41,2.9,1.5,a,1.12,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,58,43.8,33,2.4,0.8,a,0.0,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,3.2,6,1.2,1.0,a,1.1,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,44,30.4,23,1.9,1.0,a,1.08,DEF,AVL
50,Ian Maatsen,46,21.7,10,0.9,0.5,a,0.4,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,31.4,37,2.6,1.8,a,1.04,GKP,AVL
53,John McGinn,52,30.3,24,2.0,2.5,a,1.13,MID,AVL
54,Tyrone Mings,44,3.3,2,2.0,0.5,a,1.0,DEF,AVL
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,1.8,1,1.0,0.2,a,0.0,GKP,AVL
57,Pau Torres,44,27.5,21,1.6,0.8,a,1.0,DEF,AVL
58,Jacob Ramsey,54,33.7,22,2.2,0.2,i,1.0,MID,AVL
59,Morgan Rogers,53,78.8,57,4.1,3.2,a,1.11,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,93.3,41,2.9,2.0,a,1.01,MID,AVL
63,Ollie Watkins,90,100.7,76,5.4,5.8,a,1.17,FWD,AVL
64,Amadou Onana,49,41.7,31,3.1,0.5,i,1.28,MID,AVL
65,Jaden Philogene,53,6.4,8,0.8,1.0,a,0.61,MID,AVL
66,Lamare Bogarde,40,5.1,2,0.7,0.0,a,1.27,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Ben Broggio,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
71,Max Aarons,43,0.3,1,1.0,0.2,a,0.0,DEF,BOU
72,Tyler Adams,49,17.3,9,1.5,2.0,a,1.05,MID,BOU
73,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
74,David Brooks,49,14.7,14,2.0,2.8,a,0.71,MID,BOU
75,Ryan Christie,49,43.5,28,2.2,1.5,a,1.14,MID,BOU
76,Lewis Cook,50,63.5,38,2.9,1.8,a,0.99,MID,BOU
77,Enes Ünal,54,17.3,14,1.3,1.8,a,0.51,FWD,BOU
78,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
79,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
80,James Hill,39,0.0,0,0.0,0.0,a,0.0,DEF,BOU
81,Daniel Jebbison,45,1.6,2,1.0,0.0,u,0.0,FWD,BOU
82,Milos Kerkez,45,55.1,46,3.3,4.2,a,1.06,DEF,BOU
83,Justin Kluivert,54,82.9,60,4.3,8.0,a,1.19,MID,BOU
84,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU
85,Dango Ouattara,50,37.8,25,2.3,0.8,a,0.74,MID,BOU
86,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
87,Philip Billing,48,5.1,4,1.0,0.5,a,0.0,MID,BOU
88,Alex Scott,47,15.8,11,1.4,0.0,i,0.7,MID,BOU
89,Antoine Semenyo,57,93.4,50,3.8,1.5,a,1.03,MID,BOU
90,Marcos Senesi,48,33.1,21,1.9,0.5,a,1.08,DEF,BOU
91,Luis Sinisterra,49,37.2,19,2.4,0.0,i,0.44,MID,BOU
92,Adam Smith,45,15.8,26,1.9,2.0,a,0.94,DEF,BOU
93,Marcus Tavernier,55,93.4,46,3.3,3.5,a,1.01,MID,BOU
94,Mark Travers,44,9.4,10,3.3,0.0,a,1.0,GKP,BOU
95,Illia Zabarnyi,44,27.9,29,2.1,1.8,a,1.0,DEF,BOU
96,Kepa Arrizabalaga,45,21.6,28,3.1,2.8,a,1.0,GKP,BOU
97,Dean Huijsen,43,24.7,22,2.8,4.5,a,0.79,DEF,BOU
98,Julián Araujo Zúñiga,44,5.1,8,1.0,0.2,i,1.28,DEF,BOU
99,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU
100,Francisco Evanilson de Lima Barbosa,61,70.2,61,4.7,6.0,a,1.13,FWD,BOU
101,Max Kinsey,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
102,Ben Winterburn,45,0.0,0,0.0,0.0,a,0.0,MID,BOU
103,Kristoffer Ajer,44,15.9,7,0.9,0.0,i,1.13,DEF,BRE
104,Ethan Brierley,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
105,Nathan Collins,45,68.1,40,2.9,3.0,a,1.0,DEF,BRE
106,Mikkel Damsgaard,50,84.7,57,4.1,6.2,a,1.06,MID,BRE
107,Josh Dasilva,48,0.0,0,0.0,0.0,i,0.0,MID,BRE
108,Mark Flekken,45,56.1,43,3.1,3.8,a,1.0,GKP,BRE
109,Rico Henry,43,0.0,0,0.0,0.0,i,0.0,DEF,BRE
110,Aaron Hickey,43,0.0,0,0.0,0.0,i,0.0,DEF,BRE
111,Vitaly Janelt,49,47.8,44,3.1,2.8,a,1.04,MID,BRE
112,Mathias Jensen,53,20.4,17,2.1,1.5,i,1.13,MID,BRE
113,Kim Ji-soo,39,0.0,0,0.0,0.0,a,0.0,DEF,BRE
114,Yunus Emre Konak,45,0.4,4,1.0,0.2,a,0.0,MID,BRE
115,Keane Lewis-Potter,50,50.1,35,2.5,2.0,a,1.06,MID,BRE
